
2015-02-09 11:45:00|orderid[jkfloat_80263020150209114500]|str[Buy10012235248jkfloat_80263020150209114500100CNYjkfloat-productjkfloat-typejkfloat-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0jkfloatICBC-NET-B2C1]|hmac[5584b0356e58c13c80e42f42f887fb8e]
2015-02-09 11:47:13|orderid[jkfloat_14553820150209114713]|str[Buy10012235248jkfloat_14553820150209114713121CNYjkfloat-productjkfloat-typejkfloat-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0jkfloatICBC-NET-B2C1]|hmac[6d7f49832bda0242773ca924970eb7d4]
2015-02-09 11:52:21|orderid[jkfloat_23178120150209115221]|str[Buy10012423476jkfloat_23178120150209115221122CNYjkfloat-productjkfloat-typejkfloat-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0jkfloatICBC-NET-B2C1]|hmac[e5d9e2b20f7f7ad9f98c286ace47580f]
2015-02-09 12:00:09|orderid[jkfloat_78285520150209120009]|str[Buy10012423476jkfloat_78285520150209120009123CNYjkfloat-productjkfloat-typejkfloat-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0jkfloatICBC-NET-B2C1]|hmac[250354bcd354eb7a28f07439d23dc9c3]
2015-02-09 12:11:14|orderid[jkfloat_22919920150209121114]|str[Buy10012423476jkfloat_22919920150209121114800CNYjkfloat-productjkfloat-typejkfloat-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0jkfloatCMBCHINA-NET-B2C1]|hmac[68e499b145c87f0e4b8faffc0985e087]
2015-02-09 12:41:53|orderid[xiaohua1989_56387020150209124153]|str[Buy10012423476xiaohua1989_56387020150209124153100CNYxiaohua1989-productxiaohua1989-typexiaohua1989-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0xiaohua1989ICBC-NET-B2C1]|hmac[656516aabd1baf6ad1281c006fcdc18e]
2015-02-09 12:44:19|orderid[xiaohua1989_90700020150209124419]|str[Buy10012423476xiaohua1989_90700020150209124419100CNYxiaohua1989-productxiaohua1989-typexiaohua1989-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0xiaohua1989ICBC-NET-B2C1]|hmac[12e4b53f11dd38d26a8feaf701cba5e7]
2015-02-09 12:44:44|orderid[xiaohua1989_79277020150209124444]|str[Buy10012423476xiaohua1989_79277020150209124444100CNYxiaohua1989-productxiaohua1989-typexiaohua1989-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0xiaohua1989CCB-NET-B2C1]|hmac[25aa075608207607cf20f002dacca2b8]
2015-02-09 12:45:22|orderid[xiaohua1989_13913820150209124522]|str[Buy10012423476xiaohua1989_13913820150209124522100CNYxiaohua1989-productxiaohua1989-typexiaohua1989-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0xiaohua1989PINGANBANK-NET1]|hmac[ef19e6daf1a56a8b5bd833016677aa49]
2015-02-09 12:57:34|orderid[xiaohua1989_98374020150209125734]|str[Buy10012423476xiaohua1989_98374020150209125734100CNYxiaohua1989-productxiaohua1989-typexiaohua1989-descriptionhttp://pay.qingzhewang.com/pay/yeepay/callback.php0xiaohua1989ICBC-NET-B2C1]|hmac[5def4e59c6baaf61ddf9cd69de13345a]
2015-02-09 12:59:16|orderid[xiaohua1989_98374020150209125734]|str[10012423476Buy1117263251466334I100.0RMBxiaohua1989-productxiaohua1989_98374020150209125734xiaohua19892]|hmac[23b852e9bcf60f72ee6a463d95651265]
